date,CashDividendsPaid,CommonStockDividendPaid,RepurchaseOfCapitalStock,AccountsPayable,CostOfRevenue,BasicEPS,MarketCap,PeRatio,PegRatio,FreeCashFlow,TotalRevenue,NetIncome,TotalAssets,StockholdersEquity
2018-12-31,-970000000.0,-970000000.0,-585000000.0,12916000000.0,22090000000.0,6.0,183064283452.0,18.982,,2439000000.0,28341000000.0,3424000000.0,117359000000.0,339000000.0
2011-07-29,,,,,,,75277779204.0,,,,,,,
2005-11-30,,,,,,,5963642869.0,29.137,,,,,,
2014-08-29,,,,,,,260680819528.0,,,,,,,
2019-03-31,-268000000.0,-268000000.0,-133000000.0,3008000000.0,7633000000.0,2.59,,,,-976000000.0,9261000000.0,745000000.0,47466000000.0,12234000000.0
1997-08-29,,,,,,,204537722842.0,,,,,,,
2006-05-31,,,,,,,356249115480.0,19.247,,,,,,
2005-01-31,,,,,,,20663408045.0,17.295,,,,,,
1991-03-31,-10000000.0,,0.0,145100000.0,462800000.0,0.175,,,,3900000.0,750300000.0,27100000.0,2585100000.0,1015200000.0
2000-01-31,,,,,,,441575118588.0,41.615,,,,,,
1993-08-31,,,,,,,1181783360.0,10.582,,,,,,
2015-07-31,,,,,,,5614467535.0,17.165,,,,,,
2006-11-30,,,,,,,363669838560.0,18.766,,,,,,
2018-05-31,,,,,,,122289559040.0,,2.703,,,,,
2006-01-31,,,,,,,59270480352.0,18.708,,,,,,
2016-03-31,-62000000.0,-62000000.0,0.0,529000000.0,1312000000.0,1.35,9705574221.0,110.773,,87000000.0,1909000000.0,168000000.0,11900000000.0,3366000000.0
2017-09-30,-69000000.0,-69000000.0,-75000000.0,452000000.0,898000000.0,1.35,,,,72000000.0,1413000000.0,161000000.0,10099000000.0,2987000000.0
1991-11-29,,,,,,,5792844604.0,,,,,,,
2016-03-31,-533000000.0,-533000000.0,-501000000.0,2715000000.0,10368000000.0,2.61,67436343708.0,19.328,3.371,1412000000.0,11702000000.0,794000000.0,50158000000.0,3177000000.0
2012-01-31,,,,,,,55242199912.0,13.917,1.133,,,,,
2020-11-19,,,,,,,43042952778.0,,,,,,,
1996-10-31,,,,,,,17271431567.0,16.879,,,,,,
2017-12-31,-842000000.0,-842000000.0,-1736000000.0,12202000000.0,20427000000.0,5.25,,,,2469000000.0,25368000000.0,3132000000.0,92333000000.0,355000000.0
2006-09-30,-128000000.0,,-317000000.0,1933000000.0,8802000000.0,1.48,,,,462000000.0,9605000000.0,629000000.0,29093000000.0,8083000000.0
2001-03-30,,,,,,,415798352060.0,,,,,,,
1991-03-29,,,,,,,5902741000.0,,,,,,,
1988-07-29,,,,,,,38639428701.0,,,,,,,
2008-02-29,,,,,,,63320539468.0,15.74,,,,,,
2002-03-31,-116000000.0,,-100000000.0,2232000000.0,4485000000.0,0.485,,,,417000000.0,6374000000.0,467000000.0,27007000000.0,8646000000.0
2010-09-30,-370000000.0,-370000000.0,-494000000.0,4964000000.0,9667000000.0,1.32,65774287305.0,15.552,,1499000000.0,13527000000.0,1198000000.0,60649000000.0,21254000000.0
2012-12-31,-464000000.0,-464000000.0,0.0,6431000000.0,12286000000.0,2.29,75354806490.0,15.329,1.32,1183000000.0,16443000000.0,2057000000.0,89409000000.0,25914000000.0
2010-08-31,,,,,,,25200873751.0,9.123,,,,,,
1996-12-31,-14800000.0,,,214800000.0,590600000.0,0.295,2121763200.0,11.286,,-85100000.0,945900000.0,45500000.0,3512600000.0,1482300000.0
2016-09-30,-231000000.0,-231000000.0,-325000000.0,2276000000.0,6191000000.0,2.25,47367069158.0,16.436,4.125,389000000.0,7731000000.0,683000000.0,32668000000.0,11317000000.0
2020-07-31,,,,,,,53132464230.0,15.974,15.766,,,,,
2006-03-31,-2631000000.0,,,19096000000.0,17661000000.0,0.41,361656282440.0,19.539,,2525000000.0,37821000000.0,4305000000.0,674817000000.0,107488000000.0
1997-01-31,,,,,,,16555424735.0,20.218,,,,,,
2021-04-30,,,,,,,126116080778.0,,0.889,,,,,
2020-06-05,,,,,,,44225356555.0,,,,,,,
2017-09-29,,,,,,,150259307555.0,,,,,,,
2003-03-31,-1895000000.0,,,18859000000.0,11281000000.0,0.3,254856231000.0,17.466,,1714000000.0,30319000000.0,2999000000.0,583634000000.0,66358000000.0
1991-06-30,-10100000.0,,0.0,183400000.0,487100000.0,,,,,75200000.0,805100000.0,30700000.0,2485800000.0,1028400000.0
2002-12-31,-60000000.0,,-19000000.0,1056000000.0,4148000000.0,,17265919388.0,15.322,,415000000.0,3908000000.0,157000000.0,11731000000.0,5199000000.0
2011-12-30,,,,,,,26176852074.0,,,,,,,
2008-04-30,,,,,,,325933980000.0,15.139,,,,,,
2003-06-30,-63000000.0,,-26000000.0,1195000000.0,3557000000.0,0.615,14298431947.0,14.442,,221000000.0,3935000000.0,242000000.0,13993000000.0,5407000000.0
2004-05-31,,,,,,,3074372901.0,32.308,,,,,,
1987-04-30,,,,,,,6030913408.0,,,,,,,
2020-12-11,,,,,,,39748995159.0,,,,,,,
1991-08-30,,,,,,,17107980250.0,,,,,,,
2002-07-31,,,,,,,33297865488.0,15.78,,,,,,
2021-05-31,,,,,,,44698772225.0,33.808,,,,,,
2012-01-31,,,,,,,24677785244.0,9.965,1.229,,,,,
1985-10-31,,,,,,,548885520.0,8.179,,,,,,
2015-10-30,,,,,,,9825465274.0,,,,,,,
1999-09-30,-30000000.0,,-58000000.0,474000000.0,1785000000.0,0.46,7967900494.0,15.155,,-948000000.0,2215000000.0,184000000.0,8031000000.0,3027000000.0
2006-09-30,-249000000.0,,-580000000.0,4245000000.0,8794000000.0,1.02,,,,1177000000.0,12163000000.0,996000000.0,49596000000.0,18934000000.0
